Task ID,ada_gpt4o,di_gpt4o,openinterpreter_gpt4o,tablemage_gpt4o,tablemage_gpt4o-tools_only,tablemage_llama3.3_70b,Task Type
361070,0.6845,0.7081999999999999,0.7062857142857142,0.7162999999999999,0.7163999999999999,0.7313,classification
361072,2.4851428571428573,2.4375000000000004,2.3723333333333336,2.7036000000000002,2.2750000000000004,2.2827,regression
361076,0.6039999999999999,0.6148999999999999,1.03,0.6006999999999999,0.6011,0.5594999999999999,regression
361093,0.08249999999999999,0.08489999999999999,0.08583333333333332,0.07809999999999999,0.07749999999999999,0.0778,regression
361094,0.05650000000000001,0.05600000000000001,0.057,0.12560000000000002,0.1242,0.11560000000000001,regression
361111,0.6886666666666666,0.7142999999999999,0.7292857142857143,0.6964,0.7038999999999999,0.7355999999999999,classification
361278,0.7924444444444445,0.794,0.7999999999999999,0.7971,0.7968000000000001,0.7958999999999999,classification
361279,0.028100000000000003,0.028000000000000004,0.11057142857142857,0.027700000000000002,0.0273,0.0274,regression
361280,2.1774,2.1929,2.1492500000000003,2.152,2.1532999999999998,2.1509,regression
361286,0.6886666666666666,0.6839999999999999,0.7227142857142856,0.7192,0.7244999999999999,0.7337,classification
361288,2.178,2.1736000000000004,2.1276666666666664,2.1452,2.1454999999999993,2.1369,regression
