Method,Task ID,Number of Missing Answers
ada_gpt4o,361111,1
ada_gpt4o,361286,1
ada_gpt4o,361070,4
ada_gpt4o,361278,1
ada_gpt4o,361093,0
ada_gpt4o,361094,0
ada_gpt4o,361288,0
ada_gpt4o,361072,3
ada_gpt4o,361076,0
ada_gpt4o,361279,0
ada_gpt4o,361280,0
di_gpt4o,361111,0
di_gpt4o,361286,0
di_gpt4o,361070,0
di_gpt4o,361278,0
di_gpt4o,361093,0
di_gpt4o,361094,0
di_gpt4o,361288,0
di_gpt4o,361072,0
di_gpt4o,361076,0
di_gpt4o,361279,0
di_gpt4o,361280,0
tablemage_gpt4o,361111,0
tablemage_gpt4o,361286,0
tablemage_gpt4o,361070,0
tablemage_gpt4o,361278,0
tablemage_gpt4o,361093,0
tablemage_gpt4o,361094,0
tablemage_gpt4o,361288,0
tablemage_gpt4o,361072,0
tablemage_gpt4o,361076,0
tablemage_gpt4o,361279,0
tablemage_gpt4o,361280,0
tablemage_gpt4o-tools_only,361111,0
tablemage_gpt4o-tools_only,361286,0
tablemage_gpt4o-tools_only,361070,0
tablemage_gpt4o-tools_only,361278,0
tablemage_gpt4o-tools_only,361093,0
tablemage_gpt4o-tools_only,361094,0
tablemage_gpt4o-tools_only,361288,0
tablemage_gpt4o-tools_only,361072,0
tablemage_gpt4o-tools_only,361076,0
tablemage_gpt4o-tools_only,361279,0
tablemage_gpt4o-tools_only,361280,0
tablemage_llama3.3_70b,361111,0
tablemage_llama3.3_70b,361286,0
tablemage_llama3.3_70b,361070,0
tablemage_llama3.3_70b,361278,0
tablemage_llama3.3_70b,361093,0
tablemage_llama3.3_70b,361094,0
tablemage_llama3.3_70b,361288,0
tablemage_llama3.3_70b,361072,0
tablemage_llama3.3_70b,361076,0
tablemage_llama3.3_70b,361279,0
tablemage_llama3.3_70b,361280,0
openinterpreter_gpt4o,361111,3
openinterpreter_gpt4o,361286,3
openinterpreter_gpt4o,361070,3
openinterpreter_gpt4o,361278,4
openinterpreter_gpt4o,361093,4
openinterpreter_gpt4o,361094,4
openinterpreter_gpt4o,361288,4
openinterpreter_gpt4o,361072,4
openinterpreter_gpt4o,361076,1
openinterpreter_gpt4o,361279,3
openinterpreter_gpt4o,361280,2
